timestamp,x,y,z
31:14.7,52,1264,572
31:14.8,168,1060,364
31:14.9,272,1008,508
31:15.0,288,956,344
31:15.1,264,916,332
31:15.2,284,952,268
31:15.3,280,956,296
31:15.4,260,980,236
31:15.5,256,976,288
31:15.6,260,972,356
31:15.7,212,760,336
31:15.8,244,852,512
31:15.9,224,836,192
31:16.0,188,928,516
31:16.1,252,984,364
31:16.2,208,936,268
31:16.3,248,892,120
31:16.4,360,920,236
31:16.5,340,956,232
31:16.6,308,1132,472
31:16.7,300,1040,292
31:16.8,352,1056,392
31:16.9,408,1076,404
31:17.0,396,864,4
31:17.1,304,804,216
31:17.2,332,900,284
31:17.3,336,880,164
31:17.4,252,828,212
31:17.5,216,900,216
31:17.6,124,880,348
31:17.7,188,1024,400
31:17.8,272,724,-388
31:17.9,364,844,184
31:18.0,320,924,284
31:18.1,-52,1184,-128
31:18.2,176,1048,252
31:18.3,228,1004,248
31:18.4,288,1008,120
31:18.5,268,940,-68
31:18.6,120,800,76
31:18.7,160,956,252
31:18.8,212,916,0
31:19.0,348,1096,768
31:19.1,528,896,-296
31:19.2,388,1080,388
31:19.3,340,1092,296
31:19.4,308,1004,120
31:19.5,324,1064,364
31:19.6,268,960,84
31:19.7,268,972,288
31:19.8,296,884,340
31:19.9,260,856,432
31:20.0,180,1052,244
31:20.1,268,1180,720
31:20.2,176,964,108
31:20.3,284,1120,420
31:20.4,364,1356,812
31:20.5,316,1328,596
31:20.6,388,512,828
31:20.7,320,724,300
31:20.8,320,744,80
31:20.9,188,896,188
31:21.0,356,772,252
31:21.1,392,1072,620
31:21.2,444,896,-64
31:21.3,288,912,324
31:21.4,364,1056,572
31:21.5,364,1048,164
31:21.6,20,932,-292
31:21.7,460,988,-92
31:21.8,308,876,-112
31:21.9,396,1108,192
31:22.0,324,1136,-56
31:22.1,276,1228,48
31:22.2,404,1136,272
31:22.3,212,1192,136
31:22.4,360,1244,144
31:22.5,264,1032,-160
31:22.6,160,1128,-124
31:22.7,192,1064,-264
31:22.8,56,1060,156
31:22.9,4,1052,-124
31:23.0,-40,1068,-156
31:23.1,8,1480,-352
31:23.3,20,896,-56
31:23.4,84,936,340
31:23.5,156,904,432
31:23.6,124,912,288
31:23.7,188,948,-24
31:23.8,32,1104,-208
31:23.9,24,1208,-44
31:24.0,28,912,-156
31:24.1,-120,772,-148
31:24.2,-208,888,-120
31:24.3,-68,940,-68
31:24.4,-12,988,-44
31:24.5,-4,896,-48
31:24.6,-16,1000,-80
31:24.7,-96,1056,-136
31:24.8,64,1052,0
31:24.9,88,1136,32
31:25.0,52,1116,-120
31:25.1,-20,1060,-72
31:25.2,-4,1064,-84
31:25.3,-48,1040,-112
31:25.4,-28,1060,-124
31:25.5,-16,1064,-64
31:25.6,-52,1080,-36
31:25.7,-48,1064,-108
31:25.8,-60,1088,-8
31:25.9,-48,1052,-124
31:26.0,-56,1052,-184
31:26.1,-92,1036,-192
31:26.2,-96,1048,-268
31:26.3,-48,1004,-244
31:26.4,-52,1016,-252
31:26.5,-68,996,-252
31:26.6,-84,1024,-332
31:26.7,-84,996,-292
31:26.8,-88,1016,-300
31:26.9,-64,1016,-232
31:27.0,-64,1004,-232
31:27.1,-64,1012,-228
31:27.2,-56,1020,-236
31:27.3,-52,1048,-268
31:27.4,-20,1132,-348
31:27.5,-8,1228,-460
31:27.7,40,1164,-292
31:27.8,168,1148,-440
31:27.9,188,1020,-256
31:28.0,176,1068,-236
31:28.1,184,1068,-332
31:28.2,128,1092,-284
31:28.3,84,1012,-152
31:28.4,92,1028,-80
31:28.5,96,984,-12
31:28.6,72,1068,8
31:28.7,52,1032,-20
31:28.8,28,1032,4
31:28.9,12,1052,4
31:29.0,4,1060,-52
31:29.1,-16,1048,24
31:29.2,-12,1012,32
31:29.3,-8,988,52
31:29.4,-4,988,36
31:29.5,4,892,212
31:29.6,0,968,-88
31:29.7,-8,1008,-24
31:29.8,-8,1032,-56
31:29.9,-8,1036,-52
31:30.0,-12,1036,20
31:30.1,-16,1040,-40
31:30.2,-12,1040,-60
31:30.3,-4,1048,-44
31:30.4,8,1044,-104
31:30.5,96,1064,-52
31:30.6,80,1076,-40
31:30.7,40,1068,-136
31:30.8,16,1048,-84
31:30.9,8,1048,-92
31:31.0,0,1060,-60
31:31.1,-24,1052,-60
31:31.2,-24,1000,-40
31:31.3,-4,1024,-44
31:31.4,-8,1020,-32
31:31.5,28,1164,-104
31:31.6,56,1076,-204
31:31.7,32,892,-204
31:31.8,132,944,-196
31:32.0,188,916,-132
31:32.1,160,920,-56
31:32.2,184,1112,-200
31:32.3,124,1168,-112
31:32.4,8,1336,-168
31:32.5,24,1060,-500
31:32.6,-52,956,-152
31:32.7,-12,1076,-244
31:32.8,-40,1088,-172
31:32.9,-92,1096,-120
31:33.0,-44,964,0
31:33.1,-8,1004,-64
31:33.2,-4,1028,-60
31:33.3,12,1024,-52
31:33.4,-8,1020,-56
31:33.5,-16,1036,-68
31:33.6,-72,1012,-136
31:33.7,-40,1084,-188
31:33.8,-148,1140,-192
31:33.9,-100,1068,-284
31:34.0,-204,1016,-160
31:34.1,-196,984,-108
31:34.2,-192,1032,-124
31:34.3,-176,1024,-160
31:34.4,-168,1028,-164
31:34.5,-112,936,112
31:34.6,-384,668,-984
31:34.7,-252,848,-76
31:34.8,-188,900,-80
31:34.9,-148,1052,-48
31:35.0,-112,992,-52
31:35.1,-72,1000,-36
31:35.2,-96,1016,-88
31:35.3,-88,1020,-44
31:35.4,-68,1040,-52
31:35.5,-48,1012,-84
31:35.6,-56,1032,-192
31:35.7,-80,1012,-144
31:35.8,-96,1076,-108
31:35.9,-52,1024,-40
31:36.0,-12,1036,-336
